,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
54579,125,39,8.0,0,2161,2020,8,28,1,4,Пр.Л
26091,637,93,8.0,0,2161,2020,2,17,1,3,Пр.Л
71177,260,620,7.0,0,2113,2019,5,19,2,2,У
97977,259,591,1526.0,1520,2081,2021,2,22,1,7,Уш
30994,623,484,8.0,0,2161,2020,3,26,1,4,Пр.Л
73833,271,397,8.0,0,2113,2019,7,22,2,2,У
28945,324,26,9.0,0,2129,2020,3,27,2,6,П
91805,646,64,11.0,0,2065,2021,1,29,1,20,Рст
65392,84,519,10.0,0,2129,2019,1,19,2,18,П
68092,137,469,7.0,0,2113,2019,3,20,2,3,У
