,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
1956,57,744,7.0,0,2113,2018,2,27,2,5,У
11856,374,451,9.0,0,2113,2018,8,6,2,4,У
1747,574,467,7.0,0,2113,2018,2,16,2,2,У
87767,351,895,1517.0,1520,2097,2021,1,30,1,3,Суж
62593,630,52,9.0,0,2129,2020,10,15,2,19,П
93053,327,750,9.0,0,2129,2021,2,20,1,10,П
69448,535,267,9.0,0,2113,2019,3,22,2,3,У
49760,608,377,10.0,0,2161,2020,7,27,1,4,Пр.Л
3976,631,509,19.0,0,2065,2018,3,18,2,23,Р
73941,321,774,9.0,0,2129,2019,7,23,2,8,П
84497,179,480,8.0,0,2145,2021,1,27,1,5,Пр.П
100055,42,513,8.0,0,2129,2021,2,22,1,9,П
5309,31,623,7.0,0,2113,2018,4,28,2,2,У
18911,649,453,9.0,0,2161,2020,1,13,1,5,Пр.Л
35226,1,670,8.0,0,2161,2020,4,28,1,3,Пр.Л
87743,345,333,9.0,0,2065,2021,1,30,1,16,Р
68266,262,682,8.0,0,2113,2019,3,20,2,3,У
76657,567,809,10.0,0,2129,2019,9,13,2,14,П
94981,444,988,8.0,0,2129,2021,2,20,1,3,П
81151,478,932,9.0,0,2161,2019,12,17,1,5,Пр.Л
7545,172,112,8.0,0,2113,2018,5,25,2,3,У
86887,595,234,1517.0,1520,2097,2021,1,30,1,3,Суж
4050,50,532,1515.0,1520,2097,2018,3,24,2,3,Суж
18509,585,941,8.0,0,2145,2020,1,24,1,3,Пр.П
57468,296,810,8.0,0,2161,2020,9,29,1,3,Пр.Л
100297,37,277,1525.0,1520,2081,2021,2,15,1,5,Уш
96861,467,482,1526.0,1520,2081,2021,2,21,1,6,Уш
87198,443,531,1517.0,1520,2097,2021,1,30,1,6,Суж
37651,562,124,9.0,0,2145,2020,5,30,1,3,Пр.П
55889,647,806,1529.0,1520,2081,2020,8,1,2,2,Уш
96754,460,419,1526.0,1520,2081,2021,2,21,1,6,Уш
42994,649,550,9.0,0,2145,2020,6,20,1,4,Пр.П
78357,333,113,7.0,0,2113,2019,10,18,2,2,У
35235,1,770,9.0,0,2161,2020,4,28,1,5,Пр.Л
16522,646,94,12.0,0,2129,2018,11,18,2,15,П
26424,15,85,8.0,0,2161,2020,3,24,1,4,Пр.Л
92029,636,628,1515.0,1520,2097,2021,1,29,1,5,Суж
40812,624,302,9.0,0,2145,2020,5,26,1,3,Пр.П
70806,14,991,9.0,0,2129,2019,5,18,2,14,П
54128,516,507,9.0,0,2129,2020,8,27,2,15,П
54953,617,462,8.0,0,2161,2020,8,24,1,3,Пр.Л
833,450,468,7.0,0,2113,2018,1,24,2,5,У
65574,370,725,7.0,0,2113,2019,1,20,2,2,У
70200,620,666,7.0,0,2113,2019,4,23,2,3,У
81137,455,178,8.0,0,2161,2019,12,17,1,4,Пр.Л
30240,51,823,9.0,0,2161,2020,3,17,1,6,Пр.Л
31442,5,485,9.0,0,2145,2020,4,10,1,4,Пр.П
56773,636,803,9.0,0,2145,2020,8,27,1,3,Пр.П
34205,395,135,7.0,0,2113,2020,4,13,2,2,У
77498,632,213,9.0,0,2113,2019,9,13,2,2,У
44970,51,843,25.0,0,2065,2020,6,12,2,21,Р
59348,481,816,11.0,0,2129,2020,9,26,2,17,П
81205,484,537,8.0,0,2161,2019,12,17,1,4,Пр.Л
74533,364,36,9.0,0,2129,2019,7,27,2,16,П
55945,642,44,13.0,0,2161,2020,8,31,2,5,Пр.Л
32561,548,554,8.0,0,2161,2020,4,11,1,3,Пр.Л
78094,590,184,9.0,0,2129,2019,10,25,2,15,П
11732,276,22,10.0,0,2129,2018,8,7,2,15,П
68426,324,36,11.0,0,2129,2019,3,20,2,7,П
86100,116,133,8.0,0,2129,2021,1,27,1,5,П
68055,111,328,7.0,0,2113,2019,3,20,2,3,У
41356,268,671,9.0,0,2161,2020,6,29,1,3,Пр.Л
17808,189,269,8.0,0,2161,2020,1,23,1,3,Пр.Л
49728,604,324,8.0,0,2161,2020,7,27,1,4,Пр.Л
41454,306,27,9.0,0,2145,2020,6,29,1,5,Пр.П
90750,24,933,22.0,0,2065,2021,1,31,2,26,Р
20533,645,565,8.0,0,2161,2020,1,14,1,4,Пр.Л
36459,1,614,13.0,0,2145,2020,5,30,1,6,Пр.П
83356,484,461,1528.0,1520,2081,2021,1,28,1,3,Уш
23628,1,854,8.0,0,2161,2020,2,18,1,5,Пр.Л
49657,598,879,10.0,0,2161,2020,7,27,1,3,Пр.Л
63100,12,139,12.0,0,2145,2020,10,13,1,3,Пр.П
46438,273,138,7.0,0,2113,2020,7,30,2,2,У
49359,635,380,10.0,0,2161,2020,7,15,1,5,Пр.Л
8936,649,158,17.0,0,2145,2018,6,22,2,3,Пр.П
14409,68,366,7.0,0,2113,2018,10,24,2,11,У
41046,647,904,8.0,0,2145,2020,5,27,1,3,Пр.П
6361,586,24,13.0,0,2129,2018,4,17,3,11,П
5276,17,236,9.0,0,2129,2018,4,28,2,19,П
2029,94,624,7.0,0,2113,2018,2,27,2,2,У
53529,646,221,8.0,0,2161,2020,8,24,1,4,Пр.Л
25066,640,919,9.0,0,2145,2020,2,27,1,5,Пр.П
92978,319,983,1529.0,1520,2081,2021,2,19,1,3,Уш
84586,184,902,1525.0,1520,2081,2021,1,27,1,2,Уш
100659,646,690,8.0,0,2129,2021,2,20,1,13,П
2450,525,756,7.0,0,2113,2018,2,22,2,2,У
22543,299,389,9.0,0,2129,2020,2,22,2,4,П
1550,433,406,7.0,0,2113,2018,2,16,2,2,У
24165,187,839,1529.0,1520,2081,2020,2,18,2,2,Уш
47326,595,102,10.0,0,2145,2020,7,1,1,4,Пр.П
74825,641,15,10.0,0,2129,2019,7,26,2,13,П
59358,483,293,9.0,0,2161,2020,9,26,1,3,Пр.Л
7515,115,450,11.0,0,2145,2018,5,30,2,4,Пр.П
36234,636,402,8.0,0,2161,2020,4,13,1,6,Пр.Л
31329,647,836,11.0,0,2145,2020,3,26,2,4,Пр.П
63894,172,70,8.0,0,2113,2020,12,30,2,3,У
87699,335,761,9.0,0,2065,2021,1,30,1,17,Р
24076,143,113,7.0,0,2113,2020,2,18,2,4,У
38592,83,3,9.0,0,2161,2020,5,27,1,5,Пр.Л
33718,54,15,18.0,0,2065,2020,4,14,2,25,Р
84975,52,134,7.0,0,2129,2021,1,27,1,15,П
81660,612,525,8.0,0,2145,2019,12,17,1,4,Пр.П
26192,645,626,9.0,0,2145,2020,2,26,1,4,Пр.П
63223,18,560,9.0,0,2161,2020,10,13,1,5,Пр.Л
95113,119,457,11.0,0,2065,2021,2,19,2,13,Р
43229,585,985,8.0,0,2161,2020,6,26,1,5,Пр.Л
59837,143,321,8.0,0,2145,2020,9,27,1,4,Пр.П
51890,320,885,9.0,0,2145,2020,8,30,1,4,Пр.П
17892,269,681,9.0,0,2161,2020,1,23,1,4,Пр.Л
86362,545,727,10.0,0,2145,2021,1,30,1,3,Пр.П
12925,568,2,7.0,0,2113,2018,9,21,2,2,У
36420,649,685,9.0,0,2161,2020,4,13,1,3,Пр.Л
54910,83,202,8.0,0,2145,2020,8,28,1,5,Пр.П
14902,562,119,1529.0,1520,2081,2018,10,21,2,1,Уш
21619,642,111,8.0,0,2145,2020,1,17,1,5,Пр.П
35827,12,437,8.0,0,2145,2020,4,28,1,6,Пр.П
26072,636,176,9.0,0,2161,2020,2,17,1,4,Пр.Л
14885,544,714,12.0,0,2161,2018,10,21,2,3,Пр.Л
12373,612,605,11.0,0,2161,2018,8,3,2,4,Пр.Л
28254,1,932,12.0,0,2145,2020,3,28,1,3,Пр.П
81430,575,430,9.0,0,2145,2019,12,17,1,4,Пр.П
20832,624,411,10.0,0,2129,2020,1,25,2,17,П
7115,443,700,11.0,0,2161,2018,5,20,2,3,Пр.Л
23868,53,166,8.0,0,2161,2020,2,18,1,5,Пр.Л
61648,617,276,8.0,0,2145,2020,9,26,1,4,Пр.П
53698,561,464,9.0,0,2161,2020,8,27,1,4,Пр.Л
60296,645,641,11.0,0,2161,2020,9,25,2,3,Пр.Л
60152,630,531,8.0,0,2161,2020,9,25,1,5,Пр.Л
58064,72,895,7.0,0,2113,2020,9,29,2,2,У
74052,506,592,7.0,0,2113,2019,7,23,2,3,У
27966,622,134,10.0,0,2129,2020,3,25,2,15,П
47966,646,251,8.0,0,2161,2020,7,14,1,4,Пр.Л
5716,639,733,12.0,0,2161,2018,4,29,2,3,Пр.Л
4906,617,88,9.0,0,2129,2018,3,22,2,17,П
99687,118,936,1527.0,1520,2081,2021,2,22,1,3,Уш
87145,440,126,1518.0,1520,2097,2021,1,30,1,2,Суж
94067,198,1001,7.0,0,2129,2021,2,19,1,14,П
8021,16,241,1529.0,1520,2081,2018,6,17,2,2,Уш
42806,635,886,9.0,0,2161,2020,6,20,1,3,Пр.Л
96197,570,153,7.0,0,2129,2021,2,21,1,7,П
95674,1,942,1530.0,1520,2081,2021,2,19,1,15,Уш
60644,2,152,9.0,0,2145,2020,9,27,1,6,Пр.П
15127,639,301,11.0,0,2145,2018,10,21,2,3,Пр.П
49585,1,839,9.0,0,2161,2020,7,28,1,3,Пр.Л
31375,649,950,12.0,0,2145,2020,3,26,1,5,Пр.П
26778,153,53,9.0,0,2145,2020,3,24,1,3,Пр.П
16126,327,306,8.0,0,2113,2018,11,18,2,3,У
71443,39,446,8.0,0,2113,2019,5,25,2,2,У
89860,230,153,7.0,0,2129,2021,1,31,1,15,П
26342,4,93,9.0,0,2145,2020,3,24,1,6,Пр.П
57900,172,29,7.0,0,2113,2020,9,29,2,4,У
33450,650,158,1543.0,1530,2081,2020,4,11,2,18,Уш
20217,600,744,9.0,0,2161,2020,1,17,1,6,Пр.Л
51592,519,291,8.0,0,2145,2020,8,31,1,4,Пр.П
3200,271,259,9.0,0,2129,2018,3,17,2,15,П
49458,643,875,8.0,0,2145,2020,7,15,1,6,Пр.П
100716,3,913,12.0,0,2067,2021,2,15,1,14,Рст
5359,117,632,9.0,0,2129,2018,4,28,2,17,П
83572,260,348,1518.0,1520,2097,2021,1,27,1,3,Суж
8641,342,380,7.0,0,2113,2018,6,20,2,2,У
41172,482,43,8.0,0,2161,2020,6,30,1,3,Пр.Л
91463,632,554,1516.0,1520,2097,2021,1,29,1,3,Суж
77289,568,299,7.0,0,2113,2019,9,17,2,5,У
14729,352,187,9.0,0,2113,2018,10,22,2,3,У
31241,642,198,8.0,0,2145,2020,3,26,1,4,Пр.П
34223,399,251,9.0,0,2161,2020,4,13,1,6,Пр.Л
71711,382,705,9.0,0,2129,2019,5,23,2,3,П
69706,4,124,11.0,0,2129,2019,4,17,2,4,П
71371,642,688,11.0,0,2145,2019,5,20,2,5,Пр.П
62164,24,153,1529.0,1520,2081,2020,9,20,2,2,Уш
23286,619,15,9.0,0,2161,2020,2,25,1,4,Пр.Л
33858,152,879,8.0,0,2161,2020,4,14,1,3,Пр.Л
28137,645,792,10.0,0,2145,2020,3,25,1,6,Пр.П
20799,620,943,12.0,0,2161,2020,1,25,2,4,Пр.Л
36780,92,672,8.0,0,2113,2020,5,29,2,3,У
64552,162,717,8.0,0,2145,2020,12,29,1,4,Пр.П
76059,613,513,1530.0,1520,2081,2019,8,10,2,4,Уш
57855,152,970,8.0,0,2145,2020,9,29,1,4,Пр.П
36653,25,878,10.0,0,2161,2020,5,29,1,6,Пр.Л
88892,293,998,1517.0,1520,2097,2021,1,31,1,10,Суж
10408,43,206,7.0,0,2113,2018,7,24,2,2,У
89824,214,801,8.0,0,2145,2021,1,31,1,3,Пр.П
38603,84,383,8.0,0,2161,2020,5,27,1,4,Пр.Л
55522,2,860,8.0,0,2161,2020,8,28,1,3,Пр.Л
91375,623,535,10.0,0,2065,2021,1,29,1,18,Р
8093,117,483,1531.0,1520,2081,2018,6,17,2,5,Уш
89868,230,682,1526.0,1520,2081,2021,1,31,1,4,Уш
68432,326,24,7.0,0,2113,2019,3,20,2,2,У
53393,631,500,11.0,0,2145,2020,8,24,2,4,Пр.П
43405,484,410,10.0,0,2145,2020,6,26,1,5,Пр.П
24033,119,928,8.0,0,2145,2020,2,18,1,5,Пр.П
821,417,968,8.0,0,2113,2018,1,24,2,6,У
51252,18,511,8.0,0,2145,2020,7,26,1,4,Пр.П
45766,624,802,9.0,0,2129,2020,6,26,2,6,П
84298,148,336,8.0,0,2145,2021,1,27,1,5,Пр.П
34900,612,625,1531.0,1520,2081,2020,4,12,2,4,Уш
93769,165,751,9.0,0,2161,2021,2,19,2,5,Пр.Л
1322,277,765,7.0,0,2113,2018,2,15,2,2,У
58682,26,246,9.0,0,2145,2020,9,29,1,4,Пр.П
13069,609,306,7.0,0,2113,2018,9,21,2,2,У
44059,67,734,10.0,0,2161,2020,6,27,1,3,Пр.Л
8588,266,472,8.0,0,2113,2018,6,23,2,4,У
27112,328,342,9.0,0,2161,2020,3,25,1,4,Пр.Л
42421,600,798,8.0,0,2161,2020,6,30,1,3,Пр.Л
59665,387,565,9.0,0,2145,2020,9,26,1,5,Пр.П
1317,275,303,7.0,0,2113,2018,2,15,2,3,У
70801,12,345,7.0,0,2113,2019,5,18,2,2,У
